state,city,bedrooms,bathrooms,num_of_property,market_size,avg_price,min_price,max_price,avg_size,min_size,max_size,avg_lot,min_lot,max_lot
Massachusetts,Swansea,3,2,5,3281998,656399.6,499999,849999,178.20678378654577,139.35469485966982,198.16237609045049,0.43948899599999997,0.19020241999999998,1.22619858
Connecticut,Wethersfield,3,3,5,2399600,479920,349900,655900,180.51078140822565,128.57793179052203,232.25782476611639,0.13840261199999998,0.10521836,0.202343
Puerto Rico,Guaynabo,5,3,5,2459900,491980,50000,1800000,244.502457287786,115.01407482418084,520.25752747610068,0.08498406,0.01618744,0.202343
New Jersey,Vernon,2,1,5,913900,182780,90000,249900,88.165070281217766,74.136697665344343,102.1934428970912,0.16592126000000001,0.00404686,0.404686
New Hampshire,Tuftonboro,4,4,5,4933000,986600,969000,995000,268.0441104060796,257.24876671095052,274.0642332240173,0.462151412,0.404686,0.5058575
New York,Wappingers Falls,3,2,5,2021900,404380,329000,475000,133.55753955350755,37.161251962578618,167.2256338316038,0.270330248,0.09307778,0.404686
Rhode Island,Cumberland,3,2,5,3149800,629960,350000,1495900,142.58772378041417,114.27084978492925,185.24884103345443,1.518381872,0.1416401,6.07838372
Massachusetts,Wellfleet,3,1,5,4025000,805000,675000,850000,67.131801670398289,56.299296723306611,78.224435381227991,0.411970348,0.404686,0.41682658
Maine,Calais,3,2,5,867397,173479.4,89000,399999,123.85845279127454,100.33538029896228,155.33403320357863,0.318083196,0.12545266,0.70415364
Rhode Island,Johnston,3,3,5,2439999,487999.8,299999,650000,186.62380735606982,111.48375588773587,250.83845074740569,0.19991488400000001,0.0404686,0.404686
Maine,Wiscasset,4,3,5,3235000,647000,629000,699000,195.04083092559389,180.60368453813209,228.07718392032629,0.84174688,0.6879662,1.0926522
Rhode Island,Richmond,3,2,5,2233000,446600,389000,495000,147.12139651984873,116.87213742230976,174.10046544468085,0.81503760399999992,0.37635798000000004,1.1735894
Rhode Island,West Greenwich,3,3,5,3407800,681560,599000,779900,220.7749979096796,196.95463540166668,235.41653118293556,0.895165432,0.2225773,1.7725246799999999
New Jersey,Elizabeth City,4,4,5,3023798,604759.6,474999,799900,2712.5391354434732,1709.3246871487102,3715.7535837382361,0.077699712,0.03642174,0.16996812
New York,Staten Island,0,4,5,5241999,1048399.8,656000,1750000,161.55854290731054,156.0772582428302,178.00239690075159,0.029137392,0.0202343,0.03642174
New Jersey,Maplewood,3,2,5,2507000,501400,459000,525000,,,,0.071224736,0.03642174,0.17401497999999999
New Jersey,Atlantic City,3,2,5,673700,134740,80000,189900,136.56760096247643,136.56760096247643,136.56760096247643,0.032374879999999995,0.01214058,0.0809372
New Jersey,Riverside,3,2,5,1259900,251979.99999999997,135000,450000,136.27031094677579,109.25408076998114,161.27983351759121,0.067987248,0.03642174,0.10521836
New York,Wappingers Falls,3,3,5,2342900,468580,350000,625000,229.89808526649264,175.586915523184,271.091333067011,0.15863691200000002,0.03642174,0.30756136
New Jersey,Newark,3,3,5,1537999,307599.8,199999,429000,184.50561599420286,184.50561599420286,184.50561599420286,0.029137392,0.00404686,0.04856232
Massachusetts,Fall River,3,2,5,2208700,441740,420000,479000,222.68880238575241,173.72885292505507,296.08227501184518,0.050181064,0.03642174,0.07284348
New Jersey,Margate,5,4,5,8738000,1747600,1499000,1899000,264.77392023337268,250.83845074740569,278.70938971933964,0.029137392,0.02428116,0.03642174
